央视,#genre#
金鹰卡通高清,http://ipipip/udp/239.21.2.121:5002
经典电影,http://ipipip/udp/239.21.1.124
重温经典,http://ipipip/udp/239.21.2.77:5002
少儿动画,http://ipipip/udp/239.21.1.125
卡酷少儿,http://ipipip/udp/239.21.2.120:5002
动漫秀场,http://ipipip/udp/239.21.2.92:5002
嘉佳卡通,http://ipipip/udp/239.21.2.5:5002
优漫卡通,http://ipipip/udp/239.21.1.50:5002
哈哈炫动,http://ipipip/udp/239.21.1.51:5002
新动漫,http://ipipip/udp/239.21.2.93:5002
优优宝贝,http://ipipip/udp/239.21.2.94:5002
金色学堂,http://ipipip/udp/239.21.2.102:5002
求索纪录,http://ipipip/udp/239.21.2.159:5002
乐游,http://ipipip/udp/239.21.2.104:5002
游戏风云,http://ipipip/udp/239.21.2.107:5002
都市剧场,http://ipipip/udp/239.21.2.90:5002
法治天地,http://ipipip/udp/239.21.2.105:5002
梨园频道,http://ipipip/udp/239.21.2.101:5002
武术世界,http://ipipip/udp/239.21.2.96:5002
茶频道,http://ipipip/udp/239.21.2.110:5002
文物宝库,http://ipipip/udp/239.21.2.109:5002
精彩影视,http://ipipip/udp/239.21.2.91:5002
生活时尚,http://ipipip/udp/239.21.2.103:5002
中国交通,http://ipipip/udp/239.21.1.115:5002
汽摩频道,http://ipipip/udp/239.21.2.142:5002
魅力足球,http://ipipip/udp/239.21.2.95:5002
先锋乒羽,http://ipipip/udp/239.21.2.98:5002
快乐垂钓,http://ipipip/udp/239.21.2.97:5002
四海钓鱼,http://ipipip/udp/239.21.2.99:5002
中华特产,http://ipipip/udp/239.21.2.118:5002
环球旅游,http://ipipip/udp/239.21.2.115:5002
东方财经,http://ipipip/udp/239.21.2.108:5002
书画频道,http://ipipip/udp/239.21.2.111:5002
生态环境,http://ipipip/udp/239.21.2.160:5002
家庭理财,http://ipipip/udp/239.21.2.112:5002
财富天下,http://ipipip/udp/239.21.1.127:5002
车迷频道,http://ipipip/udp/239.21.2.116:5002
海洋频道,http://ipipip/udp/239.21.2.119:5002
山东广播电视台经济广播,http://ipipip/udp/239.21.2.148:5002
山东广播电视台交通广播,http://ipipip/udp/239.21.2.151:5002
光影,http://ipipip/udp/239.21.1.131
美人,http://ipipip/udp/239.21.1.132
魅力时尚,http://ipipip/udp/239.21.1.129
墨宝,http://ipipip/udp/239.21.1.130
热播剧场,http://ipipip/udp/239.21.1.128
省党代会时移频道,http://ipipip/udp/239.21.2.36
喜剧影院,http://ipipip/udp/239.21.1.122
相声小品,http://ipipip/udp/239.21.1.126
4K频道,#genre#
北京卫视4K,http://ipipip/udp/239.21.2.172:5002
广东卫视4K,http://ipipip/udp/239.21.2.173:5002
深圳卫视4K,http://ipipip/udp/239.21.2.174:5002
山东卫视4K,http://ipipip/udp/239.21.2.179:5002
